property_id,prediccion
107811988,reformado
107724684,reformado
107724684,reformado
106934537,reformado
98150050,reformado
98150050,reformado
107255444,no_reformado
107255444,no_reformado
107219233,no_reformado
107645656,no_reformado
107645656,no_reformado
107141311,no_reformado
107141311,no_reformado
106740761,reformado
106740761,reformado
107231147,no_reformado
107683753,reformado
107683753,reformado
107292359,no_reformado
103830591,reformado
103830591,reformado
107592143,no_reformado
107592143,no_reformado
107715729,no_reformado
107435603,no_reformado
107435603,no_reformado
107523622,reformado
107377054,reformado
107377054,reformado
107692743,reformado
107692743,reformado
107176790,reformado
107176790,reformado
106417252,no_reformado
107739049,no_reformado
107010138,reformado
107010138,reformado
107609770,no_reformado
107609770,no_reformado
